Passo,Sucetivel,Infectado,Exposto,Removido
0,990,10,0,0
1,984,8,6,2
2,978,7,12,3
3,975,8,14,3
4,970,7,19,4
5,967,6,22,5
6,965,8,22,5
7,961,7,25,7
8,958,8,26,8
9,957,7,25,11
10,955,7,27,11
11,955,11,23,11
12,953,12,24,11
13,950,16,23,11
14,943,13,30,14
15,943,16,26,15
16,940,17,28,15
17,936,21,28,15
18,931,21,33,15
19,927,22,36,15
20,925,23,37,15
21,923,22,36,19
22,919,20,37,24
23,913,20,41,26
24,911,22,37,30
25,905,23,41,31
26,904,24,38,34
27,898,22,44,36
28,897,20,42,41
29,892,19,46,43
30,889,18,49,44
31,889,16,48,47
32,888,20,45,47
33,885,17,48,50
34,884,18,45,53
35,880,17,49,54
36,879,20,46,55
37,876,23,44,57
38,874,25,44,57
39,866,26,51,57
40,864,26,49,61
41,859,28,49,64
42,856,26,50,68
43,852,28,49,71
44,845,32,51,72
45,839,32,56,73
46,833,38,55,74
47,826,35,59,80
48,818,36,61,85
49,811,38,65,86
50,806,37,66,91
51,797,35,72,96
52,791,33,73,103
53,786,33,72,109
54,776,31,79,114
55,767,33,85,115
56,765,36,83,116
57,762,42,78,118
58,752,46,82,120
59,742,50,87,121
60,736,47,91,126
61,734,43,91,132
62,726,49,92,133
63,721,51,92,136
64,715,45,95,145
65,709,44,99,148
66,705,45,96,154
67,698,48,96,158
68,693,47,98,162
69,691,49,95,165
70,683,49,101,167
71,676,53,102,169
72,670,52,102,176
73,662,55,104,179
74,653,58,108,181
75,648,58,106,188
76,640,55,109,196
77,633,58,109,200
78,623,58,109,210
79,616,62,110,212
80,603,60,116,221
81,595,58,120,227
82,587,60,123,230
83,577,68,123,232
84,571,68,124,237
85,559,64,131,246
86,552,61,136,251
87,545,61,138,256
88,542,59,137,262
89,538,57,137,268
90,527,60,141,272
91,520,64,140,276
92,510,64,144,282
93,504,63,144,289
94,496,65,143,296
95,486,68,144,302
96,475,68,148,309
97,465,71,151,313
98,461,78,142,319
99,454,78,142,326
100,449,74,141,336
101,442,69,140,349
102,430,67,145,358
103,424,72,143,361
104,412,70,151,367
105,410,64,150,376
106,405,66,149,380
107,400,63,149,388
108,399,63,142,396
109,391,65,142,402
110,386,72,137,405
111,378,68,140,414
112,376,64,136,424
113,371,63,137,429
114,368,64,135,433
115,362,66,135,437
116,356,56,138,450
117,351,53,140,456
118,349,57,134,460
119,345,61,129,465
120,342,65,124,469
121,336,65,125,474
122,335,68,119,478
123,328,66,120,486
124,319,66,120,495
125,314,64,122,500
126,312,66,118,504
127,305,64,120,511
128,301,58,119,522
129,294,52,122,532
130,288,55,123,534
131,282,54,126,538
132,278,59,124,539
133,274,59,121,546
134,272,58,118,552
135,265,56,121,558
136,261,59,120,560
137,252,57,119,572
138,244,51,125,580
139,243,48,124,585
140,240,43,124,593
141,235,47,124,594
142,232,49,123,596
143,231,50,118,601
144,224,47,120,609
145,220,50,116,614
146,214,48,118,620
147,211,46,117,626
148,208,46,113,633
149,203,41,115,641
150,198,39,118,645
151,194,42,115,649
152,191,43,113,653
153,189,49,108,654
154,182,45,110,663
155,178,48,107,667
156,172,45,108,675
157,171,46,106,677
158,166,44,107,683
159,162,50,103,685
160,159,51,102,688
161,153,48,105,694
162,150,53,103,694
163,144,53,103,700
