Passo,Sucetivel,Infectado,Exposto,Removido
0,980,20,0,0
1,962,36,0,2
2,936,58,0,6
3,905,83,0,12
4,872,105,0,23
5,837,130,0,33
6,794,151,0,55
7,747,173,0,80
8,678,232,0,90
9,602,287,0,111
10,522,341,0,137
11,448,382,0,170
12,368,425,0,207
13,299,440,0,261
14,247,457,0,296
15,192,469,0,339
16,157,467,0,376
17,115,464,0,421
18,89,438,0,473
19,78,398,0,524
20,62,377,0,561
21,46,359,0,595
22,35,344,0,621
23,28,328,0,644
24,24,292,0,684
25,20,271,0,709
26,16,240,0,744
27,15,215,0,770
28,13,190,0,797
29,12,172,0,816
30,11,153,0,836
31,11,135,0,854
32,11,119,0,870
33,11,106,0,883
34,11,92,0,897
35,11,82,0,907
36,11,75,0,914
37,11,69,0,920
38,11,64,0,925
39,11,58,0,931
40,11,47,0,942
41,11,38,0,951
42,11,33,0,956
43,11,29,0,960
44,11,23,0,966
45,11,22,0,967
46,11,21,0,968
47,11,18,0,971
48,11,15,0,974
49,11,13,0,976
50,11,11,0,978
51,11,9,0,980
52,11,8,0,981
53,11,6,0,983
54,11,5,0,984
55,11,5,0,984
56,11,5,0,984
57,11,5,0,984
58,11,5,0,984
59,11,5,0,984
60,11,5,0,984
61,11,5,0,984
62,11,5,0,984
63,11,5,0,984
64,11,5,0,984
65,11,5,0,984
66,11,5,0,984
67,11,4,0,985
68,11,4,0,985
69,11,4,0,985
70,11,4,0,985
71,11,4,0,985
72,11,3,0,986
73,11,3,0,986
74,11,3,0,986
75,11,1,0,988
76,11,0,0,989
