Passo,Sucetivel,Infectado,Exposto,Removido
0,980,20,0,0
1,964,36,0,0
2,937,63,0,0
3,901,99,0,0
4,874,126,0,0
5,835,165,0,0
6,789,211,0,0
7,729,271,0,0
8,675,325,0,0
9,609,391,0,0
10,539,461,0,0
11,467,533,0,0
12,378,622,0,0
13,324,676,0,0
14,274,726,0,0
15,222,778,0,0
16,194,806,0,0
17,182,818,0,0
18,171,829,0,0
19,138,862,0,0
20,139,861,0,0
21,136,864,0,0
22,121,879,0,0
23,118,882,0,0
24,132,868,0,0
25,139,861,0,0
26,137,863,0,0
27,139,861,0,0
28,133,867,0,0
29,131,869,0,0
30,134,866,0,0
31,128,872,0,0
32,130,870,0,0
33,135,865,0,0
34,147,853,0,0
35,136,864,0,0
36,139,861,0,0
37,127,873,0,0
38,122,878,0,0
39,138,862,0,0
40,137,863,0,0
41,109,891,0,0
42,132,868,0,0
43,128,872,0,0
44,128,872,0,0
45,126,874,0,0
46,117,883,0,0
47,144,856,0,0
48,113,887,0,0
49,127,873,0,0
50,122,878,0,0
51,123,877,0,0
52,128,872,0,0
53,133,867,0,0
54,127,873,0,0
55,126,874,0,0
56,137,863,0,0
57,125,875,0,0
58,131,869,0,0
59,126,874,0,0
60,129,871,0,0
61,118,882,0,0
62,124,876,0,0
63,121,879,0,0
64,130,870,0,0
65,102,898,0,0
66,129,871,0,0
67,127,873,0,0
68,128,872,0,0
69,124,876,0,0
70,111,889,0,0
71,114,886,0,0
72,121,879,0,0
73,123,877,0,0
74,116,884,0,0
75,142,858,0,0
76,134,866,0,0
77,136,864,0,0
78,140,860,0,0
79,141,859,0,0
80,132,868,0,0
81,128,872,0,0
82,127,873,0,0
83,126,874,0,0
84,99,901,0,0
85,121,879,0,0
86,118,882,0,0
87,132,868,0,0
88,106,894,0,0
89,114,886,0,0
90,133,867,0,0
91,135,865,0,0
92,130,870,0,0
93,121,879,0,0
94,117,883,0,0
95,132,868,0,0
96,147,853,0,0
97,143,857,0,0
98,148,852,0,0
99,118,882,0,0
100,117,883,0,0
101,126,874,0,0
102,108,892,0,0
103,125,875,0,0
104,125,875,0,0
105,120,880,0,0
106,141,859,0,0
107,129,871,0,0
108,123,877,0,0
109,117,883,0,0
110,126,874,0,0
111,132,868,0,0
112,128,872,0,0
113,129,871,0,0
114,116,884,0,0
115,127,873,0,0
116,117,883,0,0
117,122,878,0,0
118,132,868,0,0
119,116,884,0,0
120,141,859,0,0
121,120,880,0,0
122,125,875,0,0
123,137,863,0,0
124,127,873,0,0
125,113,887,0,0
126,122,878,0,0
127,104,896,0,0
128,118,882,0,0
129,128,872,0,0
130,125,875,0,0
131,112,888,0,0
132,123,877,0,0
133,132,868,0,0
134,132,868,0,0
135,134,866,0,0
136,121,879,0,0
137,129,871,0,0
138,128,872,0,0
139,116,884,0,0
140,125,875,0,0
141,121,879,0,0
142,106,894,0,0
143,129,871,0,0
144,124,876,0,0
145,125,875,0,0
146,135,865,0,0
147,133,867,0,0
148,138,862,0,0
149,136,864,0,0
150,115,885,0,0
151,132,868,0,0
152,150,850,0,0
153,141,859,0,0
154,129,871,0,0
155,134,866,0,0
156,134,866,0,0
157,122,878,0,0
158,131,869,0,0
159,134,866,0,0
160,133,867,0,0
161,149,851,0,0
162,163,837,0,0
163,144,856,0,0
164,127,873,0,0
165,139,861,0,0
166,140,860,0,0
167,125,875,0,0
168,123,877,0,0
169,137,863,0,0
170,127,873,0,0
171,123,877,0,0
172,127,873,0,0
173,130,870,0,0
174,126,874,0,0
175,129,871,0,0
176,136,864,0,0
177,130,870,0,0
178,103,897,0,0
179,114,886,0,0
180,122,878,0,0
181,124,876,0,0
182,125,875,0,0
183,120,880,0,0
184,113,887,0,0
185,120,880,0,0
186,133,867,0,0
187,129,871,0,0
188,118,882,0,0
189,133,867,0,0
190,154,846,0,0
191,110,890,0,0
192,120,880,0,0
193,131,869,0,0
194,127,873,0,0
195,123,877,0,0
196,129,871,0,0
197,132,868,0,0
198,120,880,0,0
199,114,886,0,0
200,124,876,0,0
201,125,875,0,0
202,107,893,0,0
203,121,879,0,0
204,126,874,0,0
205,120,880,0,0
206,121,879,0,0
207,142,858,0,0
208,141,859,0,0
209,135,865,0,0
210,113,887,0,0
211,119,881,0,0
212,109,891,0,0
213,112,888,0,0
214,147,853,0,0
215,137,863,0,0
216,123,877,0,0
217,136,864,0,0
218,135,865,0,0
219,119,881,0,0
