Passo,Sucetivel,Infectado,Exposto,Removido
0,990,10,0,0
1,986,14,0,0
2,975,25,0,0
3,962,38,0,0
4,939,61,0,0
5,920,80,0,0
6,898,102,0,0
7,873,127,0,0
8,842,158,0,0
9,780,220,0,0
10,719,281,0,0
11,652,348,0,0
12,581,419,0,0
13,503,497,0,0
14,430,570,0,0
15,376,624,0,0
16,324,676,0,0
17,274,726,0,0
18,229,771,0,0
19,208,792,0,0
20,199,801,0,0
21,182,818,0,0
22,173,827,0,0
23,136,864,0,0
24,147,853,0,0
25,147,853,0,0
26,132,868,0,0
27,140,860,0,0
28,138,862,0,0
29,136,864,0,0
30,125,875,0,0
31,118,882,0,0
32,132,868,0,0
33,110,890,0,0
34,101,899,0,0
35,121,879,0,0
36,129,871,0,0
37,125,875,0,0
38,135,865,0,0
39,141,859,0,0
40,108,892,0,0
41,103,897,0,0
42,109,891,0,0
43,107,893,0,0
44,116,884,0,0
45,132,868,0,0
46,123,877,0,0
47,117,883,0,0
48,119,881,0,0
49,111,889,0,0
50,152,848,0,0
51,138,862,0,0
52,153,847,0,0
53,131,869,0,0
54,140,860,0,0
55,132,868,0,0
56,100,900,0,0
57,119,881,0,0
58,116,884,0,0
59,145,855,0,0
60,129,871,0,0
61,118,882,0,0
62,126,874,0,0
63,141,859,0,0
64,120,880,0,0
65,131,869,0,0
66,137,863,0,0
67,136,864,0,0
68,123,877,0,0
69,137,863,0,0
70,141,859,0,0
71,138,862,0,0
72,135,865,0,0
73,115,885,0,0
74,114,886,0,0
75,124,876,0,0
76,108,892,0,0
77,136,864,0,0
78,135,865,0,0
79,121,879,0,0
80,121,879,0,0
81,137,863,0,0
82,122,878,0,0
83,127,873,0,0
84,122,878,0,0
85,130,870,0,0
86,142,858,0,0
87,121,879,0,0
88,124,876,0,0
89,119,881,0,0
90,121,879,0,0
91,119,881,0,0
92,121,879,0,0
93,115,885,0,0
94,146,854,0,0
95,140,860,0,0
96,142,858,0,0
97,115,885,0,0
98,141,859,0,0
99,142,858,0,0
100,137,863,0,0
101,137,863,0,0
102,130,870,0,0
103,151,849,0,0
104,121,879,0,0
105,133,867,0,0
106,124,876,0,0
107,118,882,0,0
108,133,867,0,0
109,142,858,0,0
110,129,871,0,0
111,114,886,0,0
112,138,862,0,0
113,124,876,0,0
114,145,855,0,0
115,147,853,0,0
116,148,852,0,0
117,130,870,0,0
118,149,851,0,0
119,131,869,0,0
120,137,863,0,0
121,132,868,0,0
122,147,853,0,0
123,135,865,0,0
124,117,883,0,0
125,118,882,0,0
126,126,874,0,0
127,116,884,0,0
128,111,889,0,0
129,143,857,0,0
130,112,888,0,0
131,115,885,0,0
132,128,872,0,0
133,117,883,0,0
134,114,886,0,0
135,122,878,0,0
136,132,868,0,0
137,109,891,0,0
138,113,887,0,0
139,120,880,0,0
140,124,876,0,0
141,125,875,0,0
142,131,869,0,0
143,136,864,0,0
144,124,876,0,0
145,111,889,0,0
146,148,852,0,0
147,123,877,0,0
148,112,888,0,0
149,131,869,0,0
150,134,866,0,0
151,117,883,0,0
152,120,880,0,0
153,95,905,0,0
154,146,854,0,0
155,134,866,0,0
156,159,841,0,0
157,123,877,0,0
158,118,882,0,0
159,128,872,0,0
